TRADEDATE,MGNT,LNTA,MVID,FIVE
2014-09-01,8900.0,425.0,188.99,
2014-09-02,9010.0,430.0,183.5,
2014-09-03,9409.2,440.99,198.71,
2014-09-04,9508.0,434.98,195.97,
2014-09-05,9750.0,438.99,199.23,
2014-09-08,9590.0,444.0,196.75,
2014-09-09,9760.0,444.19,197.26,
2014-09-10,9810.0,444.93,190.0,
2014-09-11,9929.0,442.12,190.75,
2014-09-12,9924.7,420.01,188.55,
2014-09-15,9877.0,426.0,193.24,
2014-09-16,10000.0,434.0,192.29,
2014-09-17,9812.0,428.97,192.5,
2014-09-18,9840.0,438.97,192.99,
2014-09-19,9650.0,433.0,194.99,
2014-09-22,9530.0,432.01,195.74,
2014-09-23,9750.0,432.1,202.0,
2014-09-24,9940.0,422.17,208.08,
2014-09-25,10000.0,439.0,208.0,
2014-09-26,9957.0,441.01,201.0,
2014-09-29,9845.5,430.05,197.81,
2014-09-30,9920.0,432.98,201.0,
2014-10-01,9884.9,426.0,201.4,
2014-10-02,9770.0,437.0,199.9,
2014-10-03,9987.0,431.0,199.2,
2014-10-06,10256.0,433.0,198.8,
2014-10-07,10059.0,432.0,198.3,
2014-10-08,9998.0,438.0,197.1,
2014-10-09,10245.0,437.0,197.0,
2014-10-10,10280.0,439.0,192.1,
2014-10-13,10260.0,441.0,187.0,
2014-10-14,10390.0,418.0,188.8,
2014-10-15,10218.1,404.0,185.4,
2014-10-16,10150.0,391.0,185.4,
2014-10-17,9980.0,401.0,190.0,
2014-10-20,9949.9,418.0,190.0,
2014-10-21,10085.0,421.0,186.9,
2014-10-22,10080.0,421.0,181.8,
2014-10-23,10150.0,425.0,190.2,
2014-10-24,10180.0,421.0,188.2,
2014-10-27,10240.0,417.0,204.5,
2014-10-28,10897.0,416.0,204.0,
2014-10-29,11205.0,421.0,204.0,
2014-10-30,11370.0,416.0,205.4,
2014-10-31,11900.0,420.0,211.9,
2014-11-03,11849.0,423.0,215.0,
2014-11-05,11855.0,427.0,213.9,
2014-11-06,11930.0,431.0,215.9,
2014-11-07,11750.0,417.0,211.0,
2014-11-10,11750.0,417.0,211.6,
2014-11-11,11600.0,417.0,211.0,
2014-11-12,11830.0,412.0,213.2,
